,initial angle,arc_length,incidence angle,distance from mirror
21,2.1002100210021003e-05,3.297414590594718e-07,0.0002374304527494367,4.100939378733806e-11
22,2.2002200220022003e-05,3.4544342696917064e-07,0.0002487366623938866,4.491504887821245e-11
23,2.3002300230023003e-05,3.6114539806598875e-07,0.0002600428744642833,4.899823457698413e-11
24,2.4002400240024003e-05,3.7684736524460444e-07,0.00027134908552227307,5.325894901180225e-11
25,2.5002500250025003e-05,3.92549335907952e-07,0.0002826552983675957,5.7697194214609994e-11
26,2.6002600260026003e-05,4.0825130323809025e-07,0.0002939615052407188,6.231296816621802e-11
27,2.7002700270027004e-05,4.2395328308843705e-07,0.00030526772053309664,6.710627576299002e-11
28,2.8002800280028004e-05,4.396552374536014e-07,0.0003165739280576566,7.207710513455216e-11
29,2.9002900290029004e-05,4.553571972521346e-07,0.00032788013684158777,7.722546586197635e-11
30,3.0003000300030004e-05,4.7105917153759e-07,0.0003391863476878639,8.255136117134872e-11
31,3.100310031003101e-05,4.867611547373847e-07,0.0003504925661280466,8.805478955634425e-11
32,3.2003200320032004e-05,5.024631187585327e-07,0.00036179877635312066,9.373574092553633e-11
33,3.3003300330033e-05,5.181650804337525e-07,0.0003731049857117014,9.959422111201489e-11
34,3.4003400340034005e-05,5.338670398880007e-07,0.00038441119427941735,1.0563023009834945e-10
35,3.500350035003501e-05,5.495690197853228e-07,0.0003957174091426266,1.1184377690172738e-10
36,3.6003600360036005e-05,5.652709846119026e-07,0.00040702361987290415,1.1823484746455893e-10
37,3.7003700370037e-05,5.809729512914339e-07,0.0004183298318332898,1.2480344854505919e-10
38,3.8003800380038005e-05,5.966749214351504e-07,0.00042963604431023626,1.3154958088548296e-10
